A : in2,Li et al. 2009,HoHuu et al. 2016,Cheng et al. 2016,Fenton et al. 2014,Khayyam et al. 2020,This Study,This Study,This Study
,,,,,,a,b,c
A1,30,33.5,33.5,29.5,30,30,30,30
A2,1.62,1.62,1.62,-,-,-,1.62,-
A3,22.9,22.9,22.9,23.6,22,22,22,22
A4,13.5,14.2,14.2,16.8,13.9,13.5,14.2,14.2
A5,1.62,1.62,1.62,-,-,-,-,-
A6,1.62,1.62,1.62,-,-,-,1.62,1.62
A7,7.97,7.97,7.97,6.1,7.22,7.22,7.22,7.22
A8,26.5,22.9,22.9,21,22,22,22,22
A9,22,22,22,22.8,22,22,22,22
A10,1.8,1.62,1.62,-,-,-,-,1.62
Best weight (lb),5531.98,5490.74,5490.74,5056.88,4980.1,4965.7,5107.5,5131.7
