A : mm2,Zhang et al. 2005,Cheng et al. 2016,This study,,,
,,,a,b,c,d
A1,308.6,113.2,113.2,-,113.2,-
A2,174.9,113.2,113.2,-,113.2,-
A3,338.2,113.2,-,113.2,-,113.2
A4,143.2,113.2,-,113.2,-,113.2
A5,736.7,736.7,736.7,736.7,736.7,736.7
A6,185.9,113.2,-,113.2,113.2,113.2
A7,265.9,113.2,143.2,143.2,143.2,143.2
A8,507.6,736.7,736.7,736.7,736.7,736.7
A9,143.2,113.2,113.2,-,113.2,-
A10,507.6,113.2,-,113.2,-,-
A11,279.1,113.2,113.2,145.9,145.9,145.9
A12,174.9,113.2,113.2,-,-,-
A13,297.1,113.2,-,-,-,113.2
A14,235.9,334.3,334.3,334.3,334.3,334.3
A15,265.9,334.3,334.3,334.3,334.3,334.3
Best weight (kg),142.12,105.74,89.899,90.223,90.223,91.874
