,Hasancebi et al. 2001 (cm2),Hasancebi et al. 2002 (inch),Ahrari et al. 2016,This study (cross sections are m2),,
,,,,a,b,c
G1,17.29,-,-,-,-,-
G2,27.74,11.9,-,-,-,-
G3,27.74,-,-,-,-,-
G4,4.32,-,-,-,-,-
G5,14.52,-,35.99993,35.999928,35.99993,35.999928
G6,14.39,-,-,-,-,-
G7,17.29,8.4,-,-,-,-
G8,14.39,-,6.90321,6.903212,6.90321,6.903212
G9,3.16,0.8,-,-,-,0.8
G10,9.55,0.49,-,-,-,-
G11,6.9,-,-,-,-,-
G12,4.32,-,-,-,-,-
G13,10.97,1.07,-,-,-,-
G14,6.9,-,-,-,-,-
G15,17.29,0.67,-,-,-,-
G16,17.29,8.4,27.74188,27.74188,27.74188,20.451572
G17,27.74,0.8,17.29029,20.451572,17.29029,35.999928
G18,9.55,0.8,-,-,-,-
G19,6.9,0.8,-,-,-,-
G20,-,1.07,-,-,-,-
G21,-,1.7,4.31612,4.3161204,4.31612,4.31612
G22,17.29,1.07,23.74189,20.451572,23.74189,10.96772
G23,-,-,3.18709,4.3161204,3.18709,6.903212
G24,14.39,-,-,-,-,-
G25,-,8.4,3.18709,5.1548284,3.18709,6.903212
G26,27.74,0.49,17.29029,17.290288,17.29029,27.74188
G27,-,-,2.79354,2.7935428,2.79354,2.7935428
G28,-,-,6.90321,6.903212,6.90321,6.903212
G29,-,-,27.74188,27.74188,27.74188,20.451572
G30,0,-,1.6129,1.6129,1.6129,2.1483828
G31,10.97,1.07,17.29029,20.451572,17.29029,35.999928
G32,14.39,2.23,4.12257,3.1870904,4.12257,2.064512
Best weight (kg),5547.5,4587.29,3079.446,3063.866,3079.446,3102.079
