A: in2,Hasancebi et al. 2001,Panagant et al. 2018,Degertekin et al. 2018,Ahrari et al. 2016,This study,,
,,,,,a,b,c
G1,2.6,3.1,2.7,3,2.6,2.4,3.4
G2,2.4,1.1,2.5,0.3,0.4,0.4,0.3
G3,0.8,3,0.7,2.6,2.6,2.3,3.1
G4,-,1.1,0.1,1.5,0.4,0.3,0.6
G5,1.1,2.8,0.9,2.8,2.5,2.2,2.8
G6,1.3,1.1,1.1,0.6,0.4,0.5,0.4
G7,1.7,2.6,1.8,2.3,1.8,1.7,2.4
G8,0.6,0.9,0.7,1.1,0.5,0.4,0.8
G9,1,2.7,0.9,2.5,2.2,2.3,2.6
G10,1.4,0.7,1.3,0.6,0.5,0.3,0.7
G11,0.5,2.6,0.3,2.3,2.1,1.6,1.7
G12,1.1,0.8,1.1,1.4,1.6,1.9,1.9
G13,1,0.8,1,0.7,1.7,0.5,0.6
G14,1,1.7,0.9,1.6,1.5,1.8,2
G15,0.8,1,0.8,0.9,0.9,0.9,1.2
G16,-,1,0.1,0.8,0.4,0.7,1.2
G17,2.7,0.3,2.7,0.2,0.5,1,1.1
G18,1,1,0.8,0.9,1,1,1
G19,-,1.3,0.1,1.2,1.3,1.4,1.3
G20,2.9,0.9,3,1.1,1.4,0.7,1
G21,0.9,0.9,0.9,1.2,-,-,-
G22,-,1.2,0.1,-,-,-,-
G23,3.1,0.1,3.2,-,1,0.6,-
G24,1.1,0.1,1,-,0.1,-,-
G25,-,0.1,0.1,-,0.4,-,-
G26,3.2,0.1,3.3,-,-,-,0.2
G27,1,0.1,1.1,-,-,-,-
Best weight (lb),1885.07,1871.7,1836.461688,1727.6241,1724.946991,1726.04416,1727.64868
