A : mm2,Wu et al. 1995,Lee et al. 2005,Li et al. 2009,Kaveh et al. 2009,Ho-Huu et al. 2016,Cheng et al. 2016,This study,,
,,,,,,,a,b,c
G1,4658.055,4658.055,4658.055,4658.055,4658.055,4658.055,5141.925,4658.055,4658.055
G2,1161.288,1161.288,1161.288,1161.288,1161.288,1161.288,939.998,1045.159,1008.385
G3,645.160,506.451,363.225,494.193,494.193,494.193,-,-,-
G4,3303.219,3303.219,3303.219,3303.219,3303.219,3303.219,3703.218,3703.218,3703.218
G5,1045.159,940.000,940.000,1008.385,939.998,940.000,792.256,939.998,1008.385
G6,494.193,494.193,494.193,285.161,494.193,494.193,-,-,198.064
G7,2477.414,2290.318,2238.705,2290.318,2283.705,2238.705,2477.414,2477.414,2341.931
G8,1045.159,1008.385,1008.385,1008.385,1008.385,1008.385,939.998,1008.385,939.998
G9,285.161,363.225,388.386,388.386,494.193,494.193,-,198.064,285.161
G10,1696.771,1535.481,1283.868,1283.868,1283.868,1283.868,1535.481,1535.481,1535.481
G11,1045.159,1045.159,1161.288,1161.288,1161.288,1161.288,1045.159,1008.385,1008.385
G12,641.289,506.451,792.256,506.451,494.193,494.193,363.225,494.193,388.386
Best weight (lb),1970.140,1906.760,1905.500,1904.830,1902.610,1902.610,1862.000,1880.300,1869.700
