A : in2,Wu et al. 1995,Lee et al. 2005,Li et al. 2009,Cheng et al. 20016,Degertekin et al. 2009,This study,,
,,,,,,a,b,c
G1,1.5,1.9,2.1,1.9,1.9,2,2,1.9
G2,0.7,0.5,0.6,0.5,0.5,0.5,0.5,0.5
G3,0.1,0.1,0.1,0.1,0.1,-,-,-
G4,0.1,0.1,0.1,0.1,0.1,-,-,-
G5,1.3,1.4,1.4,1.3,1.4,1.4,1.3,1.3
G6,0.5,0.6,0.5,0.5,0.5,0.6,0.5,0.5
G7,0.2,0.1,0.1,0.1,0.1,-,-,-
G8,0.1,0.1,0.1,0.1,0.1,-,-,0.1
G9,0.5,0.6,0.5,0.6,0.5,0.5,0.5,0.5
G10,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6
G11,0.1,0.1,0.1,0.1,0.1,-,-,-
G12,0.2,0.1,0.1,0.1,0.1,-,0.1,-
G13,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
G14,0.5,0.5,0.5,0.6,0.6,0.5,0.6,0.5
G15,0.5,0.4,0.3,0.4,0.4,0.5,0.5,0.5
G16,0.7,0.6,0.7,0.6,0.6,0.6,0.6,0.7
Best weight (lb),400.66,387.94,388.94,385.54,385.54,368.16,369.15,370.15
